Name,ID,Identifier,Type
Extra Space Storage,2314,https://www.crunchbase.com/organization/extra-space-storage,Crunchbase URL
Extra Space Storage,2314,598b582e-d5a3-33be-32e0-f12024c0ef64,Crunchbase UUID
Zions Bancorp,2553,\bzions\s+bancorporation\b|\bkeystone\s+insurance\s+and\s+investment\s+co\b|\bzions\s+bancorporation.?\s+n.?a.?\b|\bzions\s+bancorporation.?\s+national\s+association\b|\bzions\s+bank\b|\bzions\s+bancorp\b,Regex
Zions Bancorp,2553,4295999515,PermID
Zions Bancorp,2553,https://www.linkedin.com/company/zions-bancorporation,LinkedIn
Zions Bancorp,2553,https://www.crunchbase.com/organization/zions-bancorporation,Crunchbase URL
Zions Bancorp,2553,cca93f73-1630-334b-1898-03e247e4ae63,Crunchbase UUID
IFlyTek,122,\biflytek\s+co\s+ltd\b|\bkeda\s+xunfei\b|\bkeda\s+xunfei\s+co.?.?\s+ltd.?\b|\b科大讯飞\b|\b科大讯飞股份有限公司\b|\banhui\s+ustc\s+iflytek\s+science\s+and\s+technology\s+co.?\s+ltd.?\b|(^|\^)\biflytek\b,Regex
IFlyTek,122,4298007693,PermID
IFlyTek,122,https://www.linkedin.com/company/iflytekcoltd.,LinkedIn
IFlyTek,122,https://www.crunchbase.com/organization/anhui-ustc-iflytek-science-and-technology-co-ltd,Crunchbase URL
IFlyTek,122,10ea2431-f439-5bf6-a5d2-a027196e0514,Crunchbase UUID
Aisimba,17,\b小狮科技\b|\bxiaoshi\s+keji\b|\b武汉小狮科技有限公司\b|\bwuhan\s+xiaoshi\s+technology\s+co.?.?\s+ltd.?\b|(^|\^)\bxiaoshi\s+technology\b|\baisimba\b|\bwuhan xiaoshi (intelligent|technology),Regex
Aisimba,17,5052168474,PermID
Aisimba,17,https://www.linkedin.com/company/武汉小狮科技有限公司,LinkedIn
Aisimba,17,https://www.crunchbase.com/organization/aisimba,Crunchbase URL
Aisimba,17,6fc982ca-b1a1-4cb5-bba7-f4e1a4e7817e,Crunchbase UUID
Micron Technology,2107, grid.434172.7,GRID
Micron Technology,2107,(^|\^)Micron\s+Technology\b,Regex
Micron Technology,2107,4295903176,PermID
Micron Technology,2107,https://www.linkedin.com/company/micron-technology,LinkedIn
Micron Technology,2107, https://www.crunchbase.com/organization/micron-technology,Crunchbase URL
Micron Technology,2107, f2228766-a19f-97d4-64e8-f197718c86df,Crunchbase UUID
Lamb Weston Holdings,2392,10728841,BGOV
Lamb Weston Holdings,2392,\blamb\s+weston\b|\bconagra\s+foods\s+lamb\s+weston\b|\blamb\s+weston\s+holdings\s+inc\b,Regex
Lamb Weston Holdings,2392,5051774284,PermID
Lamb Weston Holdings,2392,https://www.linkedin.com/company/lamb-weston,LinkedIn
Lamb Weston Holdings,2392,https://www.crunchbase.com/organization/conagra-foods-lamb-weston,Crunchbase URL
Lamb Weston Holdings,2392,8c47f25e-8c6f-33a9-c719-a4499ec69887,Crunchbase UUID
Idexx Laboratories,2363,671017,BGOV
Idexx Laboratories,2363,grid.493313.f,GRID
Idexx Laboratories,2363,grid.497035.c,GRID
Idexx Laboratories,2363,\bidexx\s+laboratories.?\s+inc.?\b|\bidexx\s+laboratories\s+inc\b|(^|\^)idexx($|\^)|\bidexx\s+laboratories.?\s+inc.?\s+.?idxx.?\b|\bidexx\s+laboratories\b,Regex
Idexx Laboratories,2363,4295906763,PermID
Idexx Laboratories,2363,https://www.linkedin.com/company/idexx-laboratories,LinkedIn
Idexx Laboratories,2363,https://www.crunchbase.com/organization/idexx-laboratories,Crunchbase URL
Idexx Laboratories,2363,57b6bd82-07d1-50be-da2a-45fabbe98fb8,Crunchbase UUID
Panasonic,1129,grid.498995.0,GRID
Panasonic,1129,grid.410834.a,GRID
Panasonic,1129,grid.429962.2,GRID
Panasonic,1129,grid.423383.d,GRID
Panasonic,1129,grid.497393.3,GRID
Panasonic,1129,grid.426318.a,GRID
Panasonic,1129,grid.486020.8,GRID
Panasonic,1129,grid.497361.e,GRID
Panasonic,1129,\b(パナソニック|松下|Panasonic|Panasonic\s+Holdings\s+Corporation|Panasonic\s+Corporation|Panasonic\s+Holdings\s+Corp\.?|Panasonic\s+Corp\.?)\b,Regex
Panasonic,1129,4295877797,PermID
Panasonic,1129,https://www.linkedin.com/company/panasonic,LinkedIn
Panasonic,1129,https://www.crunchbase.com/organization/panasonic,Crunchbase URL
Panasonic,1129,824fd405-fe30-fb47-a462-6d0e056c3d1d,Crunchbase UUID
Diamondback Energy,2284,\bdiamondback\s+energy\s+inc\b|(^|\^)diamondback($|\^)|\bdiamondback\s+energy.?\s+inc.?\b|\bdiamondback\s+energy\b,Regex
Diamondback Energy,2284,5037314809,PermID
Diamondback Energy,2284,https://www.crunchbase.com/organization/diamondback-energy,Crunchbase URL
Diamondback Energy,2284,131a5faf-b705-0ef2-6a51-6fb2b3cdf86c,Crunchbase UUID
Globe Life,2340,\bglobe\s+life\s+inc\b|\bglobe\s+life\b|\bglobe\s+life\s+and\s+accident\s+insurance\b|\bglobe\s+life\s+insurance\b|\bglobe\s+life\s+inc.?\b,Regex
Globe Life,2340,4295905104,PermID
Globe Life,2340,https://www.linkedin.com/company/globelife,LinkedIn
Globe Life,2340,https://www.crunchbase.com/organization/globe-life-and-accident-insurance,Crunchbase URL
Globe Life,2340,7b53817b-990a-51c5-7ba0-685ac7a3405c,Crunchbase UUID
Tyler Technologies,3093,\bTyler\s+Technologies\b,Regex
Tyler Technologies,3093,4295912310,PermID
Tyler Technologies,3093,https://www.linkedin.com/company/tyler-technologies,LinkedIn
Tyler Technologies,3093, https://www.crunchbase.com/organization/tyler-technologies,Crunchbase URL
Tyler Technologies,3093, 05d014ce-de66-2656-56d2-793e567a994e,Crunchbase UUID
Charles Schwab Corporation,2255,10528843,BGOV
Charles Schwab Corporation,2255,10562494,BGOV
Charles Schwab Corporation,2255,\bcharles\s+schwab($|\^)|\bcharles\s+schwab\s+corp\b|\bcharles\s+schwab\s+.?\s+co.?\b|\bcharles\s+schwab\s+corporation\b|\bcharles\s+schwab\s+and\s+co\b,Regex
Charles Schwab Corporation,2255,8589934318,PermID
Charles Schwab Corporation,2255,https://www.linkedin.com/company/charles-schwab,LinkedIn
Charles Schwab Corporation,2255,https://www.crunchbase.com/organization/charles-schwab,Crunchbase URL
Charles Schwab Corporation,2255,fb6fd6cb-adb7-c95b-88d5-fd7ccef7a92b,Crunchbase UUID
American Airlines Group,1978, grid.467594.d,GRID
American Airlines Group,1978,"(^|\^)American\s+Airlines\b|\bAmerican\s+Airlines,|\bAmerican\s+Airlines\b",Regex
American Airlines Group,1978,4295896494,PermID
American Airlines Group,1978,https://www.linkedin.com/company/american-airlines,LinkedIn
American Airlines Group,1978,https://www.crunchbase.com/organization/american-airli,Crunchbase URL
American Airlines Group,1978, cf1518de-cb38-1b4e-2601-3d377dab0eda,Crunchbase UUID
Alliance Data Systems,2204,1139502,BGOV
Alliance Data Systems,2204,https://www.linkedin.com/company/alliance-data,LinkedIn
Valero Energy,1821,5255512,BGOV
Valero Energy,1821,grid.502777.0,GRID
Valero Energy,1821,\bvalero (energy|refining|producing)\b,Regex
Valero Energy,1821,4295905198,PermID
Valero Energy,1821,https://www.linkedin.com/company/valero-energy-corporation,LinkedIn
Valero Energy,1821,https://www.crunchbase.com/organization/valero-energy,Crunchbase URL
Valero Energy,1821,82b40939-e737-210d-a5d1-1f6e09fe3427,Crunchbase UUID
Vista Equity Partners,3159,grid.505061.7,GRID
Vista Equity Partners,3159,\bVista\s+Equity\b,Regex
Vista Equity Partners,3159,4295951692,PermID
Vista Equity Partners,3159,https://www.linkedin.com/company/vista-equity-partners,LinkedIn
Vista Equity Partners,3159,https://www.crunchbase.com/organization/vista-equity-partners,Crunchbase URL
Vista Equity Partners,3159,4d096273-ae5d-d4c3-a411-20a42514d2ce,Crunchbase UUID
Starlink,6932,^starlink$,Regex
Starlink,6932,https://www.crunchbase.com/organization/starlink-124d,Crunchbase URL
Bmw,783,grid.482868.8,GRID
Bmw,783,grid.14039.3f,GRID
Bmw,783,grid.505538.e,GRID
Bmw,783,\bbayerische\s+motoren\s+werke\b|(^|\^)bmw($|\^)|\bbmw\s\W\b,Regex
Bmw,783,4295869227,PermID
Bmw,783,https://www.linkedin.com/company/bmw-group,LinkedIn
Bmw,783,https://www.crunchbase.com/organization/bmw,Crunchbase URL
Bmw,783,b462608d-8bf4-93f1-4f68-e41ee10f0df2,Crunchbase UUID
Siemens,789,grid.426109.8,GRID
Siemens,789,grid.426119.9,GRID
Siemens,789,grid.437759.b,GRID
Siemens,789,grid.474512.1,GRID
Siemens,789,grid.419233.e,GRID
Siemens,789,grid.426107.6,GRID
Siemens,789,grid.437755.7,GRID
Siemens,789,grid.424295.c,GRID
Siemens,789,grid.451281.b,GRID
Siemens,789,grid.426094.d,GRID
Siemens,789,grid.481749.7,GRID
Siemens,789,grid.5406.7,GRID
Siemens,789,grid.480383.4,GRID
Siemens,789,grid.497371.f,GRID
Siemens,789,grid.448066.8,GRID
Siemens,789,grid.480381.6,GRID
Siemens,789,grid.507268.e,GRID
Siemens,789,grid.498655.3,GRID
Siemens,789,grid.437542.3,GRID
Siemens,789,grid.452598.7,GRID
Siemens,789,grid.425300.0,GRID
Siemens,789,grid.458701.f,GRID
Siemens,789,grid.422187.a,GRID
Siemens,789,grid.474506.4,GRID
Siemens,789,grid.14601.32,GRID
Siemens,789,grid.415886.6,GRID
Siemens,789,grid.474511.2,GRID
Siemens,789,grid.426110.0,GRID
Siemens,789,\bsiemens\b,Regex
Siemens,789,4295869238,PermID
Siemens,789,https://www.linkedin.com/company/siemens,LinkedIn
Siemens,789,https://www.crunchbase.com/organization/siemens,Crunchbase URL
Siemens,789,8483fc50-b82d-5ffa-5f92-6c72ac4bdaff,Crunchbase UUID
Lululemon Athletica,6970,\b(Lululemon(?:\sAthletica(?:\sInc)?)?)\b,Regex
Lululemon Athletica,6970,https://permid.org/1-4295862576,PermID
Lululemon Athletica,6970,https://www.linkedin.com/company/lululemon/,LinkedIn
Lululemon Athletica,6970,https://www.crunchbase.com/organization/lululemon,Crunchbase URL
Trane Technologies,2512,738931,BGOV
Trane Technologies,2512,10718552,BGOV
Garmin,2335,10522234,BGOV
Garmin,2335,grid.485462.9,GRID
Garmin,2335,grid.481633.b,GRID
Garmin,2335,grid.481629.0,GRID
Garmin,2335,\bgarmin\s+international\b|(^|\^)garmin\s\W\b|\bgarmin\s+ltd.?\b,Regex
Garmin,2335,4295913863,PermID
Garmin,2335,https://www.linkedin.com/company/garmin,LinkedIn
Garmin,2335,https://www.crunchbase.com/organization/garmin,Crunchbase URL
Garmin,2335,d85fd6ab-075f-86cb-3531-2c6ed0802a31,Crunchbase UUID
Caesars Entertainment,6945,\bcaesars entertainment,Regex
Caesars Entertainment,6945,https://permid.org/1-4295904134,PermID
Caesars Entertainment,6945,https://www.linkedin.com/company/caesars-entertainment-inc/,LinkedIn
Caesars Entertainment,6945,https://www.crunchbase.com/organization/caesars-entertainment,Crunchbase URL
Mentor Graphics,570,5203293,BGOV
Mentor Graphics,570,702717,BGOV
Mentor Graphics,570,grid.421266.5,GRID
Mentor Graphics,570,grid.497979.d,GRID
Mentor Graphics,570,^mentor$|\bmentor\s+(graph|graphics),Regex
Mentor Graphics,570,4295907127,PermID
Mentor Graphics,570,https://www.linkedin.com/company/mentor_graphics,LinkedIn
Mentor Graphics,570,https://www.crunchbase.com/organization/mentor-graphics,Crunchbase URL
Mentor Graphics,570,140e9dfc-f9e8-a509-5836-a572c2edb632,Crunchbase UUID
Nike,830,grid.453820.8,GRID
Nike,830,(^|\^)nike\s+sport|(^|\^)nike\s+corp|(^|\^)nike\s+world\b|(^|\^)nike\s+physical|(^|\^)nike.?\s+inc|(^|\^)nike\s+vietnam|(^|\^)nike\s+explore|(^|\^)nike\s+r.d|(^|\^)nike\s+golf|(^|\^)nike\s+memphis|(^|\^)nike\s+europe|(^|\^)nike\s+\(united|(^|\^)nike\s+in.?t|(^|\^)nike\s+innovat|(^|\^)nike\s+sweden|(^|\^)nike\s+mercurial,Regex
Nike,830,4295904620,PermID
Nike,830,https://www.linkedin.com/company/nike,LinkedIn
Nike,830,https://www.crunchbase.com/organization/nike,Crunchbase URL
Nike,830,4273d16f-0893-3300-8352-59a7126f06fc,Crunchbase UUID
Appier,26,\bappier.?com\b|\bappier\s+inc.?\b|(^|\^)\bappier\b,Regex
Appier,26,5043316569,PermID
Appier,26,https://www.linkedin.com/company/appier,LinkedIn
Appier,26,https://www.crunchbase.com/organization/appier,Crunchbase URL
Appier,26,626510c2-69c6-96df-cafe-608968af40ae,Crunchbase UUID
Foxconn,1393,grid.474770.7,GRID
Foxconn,1393,grid.471047.1,GRID
Foxconn,1393,grid.481631.9,GRID
Foxconn,1393,grid.471120.1,GRID
Foxconn,1393,grid.481660.d,GRID
Foxconn,1393,\bfoxconn($|\^)|\bhon hai precision\b|\bfoxconn\s\W\b,Regex
Foxconn,1393,5000069307,PermID
Foxconn,1393,https://www.linkedin.com/company/foxconn,LinkedIn
Foxconn,1393,https://www.crunchbase.com/organization/foxconn-technology-group,Crunchbase URL
Foxconn,1393,cee4abef-8d9f-02e1-682e-d226fcf00106,Crunchbase UUID
Ameren,2208,678592,BGOV
Ameren,2208,898492,BGOV
Ameren,2208,grid.467177.4,GRID
Ameren,2208,\bameren\s+services\b|(^|\^)ameren\s\W\b|\bameren\s+corp\b,Regex
Ameren,2208,4295903332,PermID
Ameren,2208,https://www.linkedin.com/company/ameren,LinkedIn
Ameren,2208,https://www.crunchbase.com/organization/ameren,Crunchbase URL
Ameren,2208,fa3d8616-afc6-abc5-c103-a7a1074eeb79,Crunchbase UUID
Regions Financial,2475,10616940,BGOV
Regions Financial,2475,\bregions\s+financial\s+corporation\b|\bregions\s+financial\b|\bregions\s+bank\b|\bregions\s+financial\s+corp.?\b,Regex
Regions Financial,2475,4295907751,PermID
Regions Financial,2475,https://www.linkedin.com/company/regions-financial-corporation,LinkedIn
Regions Financial,2475,https://www.crunchbase.com/organization/regions-financial,Crunchbase URL
Regions Financial,2475,93b72ae4-ff71-0275-3810-1294c94a6a4f,Crunchbase UUID
Vulcan Materials,2532,10703505,BGOV
Vulcan Materials,2532,11443218,BGOV
Vulcan Materials,2532,10492868,BGOV
Vulcan Materials,2532,\bvulcan\s+materials\s+co\b|\bvulcan\s+materials\s+company\b|(^|\^)vulcan($|\^)|\bvulcan\s+materials\b,Regex
Vulcan Materials,2532,4295905292,PermID
Vulcan Materials,2532,https://www.linkedin.com/company/vulcan-materials-company,LinkedIn
Vulcan Materials,2532,https://www.crunchbase.com/organization/vulcan-materials-company,Crunchbase URL
Vulcan Materials,2532,dd7597b3-15d2-9fbb-ad66-bd4f681637b9,Crunchbase UUID
Canadian Pacific,3160,grid.450535.2,GRID
Canadian Pacific,3160,\bCanadian\s+Pacific\s+Railway\b|\bCanadian\s+Pacific.?\s+Limited\b|\bCanadian\s+Pacific\s+Ltd.?\b|\bCanadian\s+Pacific($|\^)|\bCP\s+Rail\b,Regex
Canadian Pacific,3160,4295861343,PermID
Canadian Pacific,3160,https://www.linkedin.com/company/canadian-pacific,LinkedIn
Canadian Pacific,3160,https://www.crunchbase.com/organization/canadian-pacific-railway,Crunchbase URL
Canadian Pacific,3160,e2802fa1-0698-5cad-b9b4-a98b24f72765,Crunchbase UUID
Axon Enterprise,6939,\baxon enterprise|\btaser\b,Regex
Axon Enterprise,6939,https://permid.org/1-4295899766,PermID
Axon Enterprise,6939,https://www.linkedin.com/company/axon-protect-life/,LinkedIn
Axon Enterprise,6939,https://www.crunchbase.com/organization/taser-international,Crunchbase URL
Microchip Technology,2415,10630237,BGOV
Microchip Technology,2415,grid.471130.0,GRID
Microchip Technology,2415,grid.474340.0,GRID
Microchip Technology,2415,(^|\^)microchip\s+technology\s+inc.?\b|(^|\^)microchip($|\^)|(^|^)microchip\s+technology\s\W\b,Regex
Microchip Technology,2415,4295907171,PermID
Microchip Technology,2415,https://www.linkedin.com/company/microchip-technology,LinkedIn
Microchip Technology,2415,https://www.crunchbase.com/organization/microchip-technology,Crunchbase URL
Microchip Technology,2415,771ea53a-9289-52f0-b573-69ed67ca2c75,Crunchbase UUID
Siemens Healthineers,683,670661,BGOV
Siemens Healthineers,683,11503697,BGOV
Siemens Healthineers,683,grid.415886.6,GRID
Siemens Healthineers,683,\bsiemens\s+healthcare\b|\bsiemens\s+healthcare\s+gmbh\b|\bsiemens\s+healthineers\b,Regex
Siemens Healthineers,683,5046274429,PermID
Siemens Healthineers,683,https://www.linkedin.com/company/siemens-healthineers,LinkedIn
Siemens Healthineers,683,https://www.crunchbase.com/organization/siemens-healthcare,Crunchbase URL
Siemens Healthineers,683,d77835d3-ffc8-40f9-717f-4a6dbd0f08e8,Crunchbase UUID
Arch Capital Group,6938,\bArch\sCapital(?: Group)?(?: Ltd\.)?\b,Regex
Arch Capital Group,6938,https://permid.org/1-4295912518,PermID
Arch Capital Group,6938,https://www.linkedin.com/company/acgl/,LinkedIn
Arch Capital Group,6938,https://www.crunchbase.com/organization/arch-capital-group,Crunchbase URL
Everest Re,2312,10697159,BGOV
Everest Re,2312,\beverest\s+reinsurance\s+company\b|\beverest\s+reinsurance\b|(^|\^)everest($|\^)|(^|\^)everest\s+re\s+group\b|\beverest\s+re\s+group\s+ltd.?\b,Regex
Everest Re,2312,4295911983,PermID
Everest Re,2312,https://www.linkedin.com/company/everest-reinsurance,LinkedIn
Everest Re,2312,https://www.crunchbase.com/organization/everest-reinsurance-company,Crunchbase URL
Everest Re,2312,037c8908-f000-4cf7-b7d3-2868db6a1703,Crunchbase UUID
Graphcore,102,grid.510213.4,GRID
Graphcore,102,\bgraphcore\s+ltd\b|\bgraphcore\s+limited\b|\bgraphcore\b,Regex
Graphcore,102,5052163873,PermID
Graphcore,102,https://www.linkedin.com/company/graphcore,LinkedIn
Graphcore,102,https://www.crunchbase.com/organization/graphcore,Crunchbase URL
Graphcore,102,5f543728-d9a4-c9e4-dc0f-48ffd232b353,Crunchbase UUID
Nextera Energy,2432,5215117,BGOV
Nextera Energy,2432,\bnextera\s+energy.?\s+inc.?\b|\bnextera\s+energy\b,Regex
Nextera Energy,2432,4295903955,PermID
Nextera Energy,2432,https://www.linkedin.com/company/nextera-energy-inc,LinkedIn
Nextera Energy,2432,https://www.crunchbase.com/organization/nextera-enterprises-inc,Crunchbase URL
Nextera Energy,2432,69c3cc74-eab1-3282-41cf-da4352a07f46,Crunchbase UUID
Brown & Brown,6943,\bbrown \& brown,Regex
Brown & Brown,6943,https://permid.org/1-4295912025,PermID
Brown & Brown,6943,https://www.linkedin.com/company/brown-brown/,LinkedIn
Brown & Brown,6943,https://www.crunchbase.com/organization/brown-brown,Crunchbase URL
Roper Technologies,2481,195541,BGOV
Roper Technologies,2481,grid.479724.b,GRID
Roper Technologies,2481,(^|\^)roper($|\^)|\broper\s+industries.?\s+inc.?\b|\broper\s+technologies\b,Regex
Roper Technologies,2481,4295904842,PermID
Roper Technologies,2481,https://www.linkedin.com/company/roper-industries,LinkedIn
Roper Technologies,2481,https://www.crunchbase.com/organization/roper-industries,Crunchbase URL
Roper Technologies,2481,e0db2d90-4a42-7fd6-343a-7a84f34f63ad,Crunchbase UUID
Jabil,3123, grid.510670.5,GRID
