Name,ID,Ticker,Exchange
Citizens Financial Group,2260,CFG.PRD,NYSE
Citizens Financial Group,2260,CFG.PRE,NYSE
CVS Health,1796,CVS,NYSE
TE Connectivity,2505,TEL,NYSE
LyondellBasell,2401,LYB,NYSE
Royal Dutch Shell,682,RDS.A,NYSE
Royal Dutch Shell,682,RDS.B,NYSE
Hologic,2356,HOLX,NASDAQ
Keurig Dr Pepper,6969,KDP,NASDAQ
IPG Photonics,2373,IPGP,NASDAQ
Boston Scientific,2235,BSX,NYSE
Boston Scientific,2235,BSX-PR-A,NYSE
Insulet,6965,PODD,NASDAQ
Abiomed,2191,ABMD,NASDAQ
Teradyne,3092,TER,NASDAQ
Waters Corporation,2536,WAT,NYSE
TJX,2027,TJX,NYSE
NXP Semiconductors,606,NXPI,NASDAQ
Philips,201,PHG,NYSE
TechnipFMC,2506,FTI,NYSE
Laboratory Corporation of America,2390,LH,NYSE
Qorvo,2468,QRVO,NASDAQ
Lowe's,1876,LOW,NYSE
Ingersoll Rand,2367,IR,NYSE
Ingersoll Rand,2367,IR,NYSE
Old Dominion Freight Line,2444,ODFL,NASDAQ
Hanesbrands,2345,HBI,NYSE
Spotify,844,SPOT,NYSE
Sanofi,989,SNY,NASDAQ
SAP,812,SAP,NYSE
Danaher,2279,DHR,NYSE
Lennar,2395,LEN,NYSE
Carnival,2246,CCL,NYSE
Carnival,2246,CUK,NYSE
Norwegian Cruise Line Holdings,2439,NCLH,NYSE
Royal Caribbean Cruises,2483,RCL,NYSE
Gen Digital,6963,GEN,NASDAQ
First Solar,6958,FSLR,NASDAQ
Toyota,790,TM,NYSE
Sony,1132,SONY,NYSE
Honda,795,HMC,NYSE
Oneok,2446,OKE,NYSE
Helmerich & Payne,2350,HP,NYSE
Williams Companies,2544,WMB,NYSE
PTC,6977,PTC,NASDAQ
American Tower,2210,AMT,NYSE
Iron Mountain,2374,IRM,NYSE
Eversource Energy,2311,ES,NYSE
Ginkgo Bioworks,6936,DNA,NYSE
State Street,2497,STT,NYSE
State Street,2497,STT.PRD,NYSE
State Street,2497,STT.PRG,NYSE
Vertex Pharmaceuticals,2529,VRTX,NASDAQ
Boston Properties,2234,BXP,NYSE
Texas Instruments,714,TXN,NASDAQ
Copart,2272,CPRT,NASDAQ
Match Group,6971,MTCH,NASDAQ
Invitation Homes,6966,INVH,NYSE
Comerica,2266,CMA,NYSE
AT&T,805,T,NYSE
Atmos Energy,2223,ATO,NYSE
Jacobs Engineering Group,2376,J,NYSE
CBRE Group,2249,CBRE,NYSE
Southwest Airlines,2494,LUV,NYSE
Aecom,2763,ACM,NYSE
Apartment Investment & Management,2219,AIV,NYSE
Newmont Corporation,2429,NEM,NYSE
V.F. Corporation,2524,VFC,NYSE
Davita,2281,DVA,NYSE
Healthpeak Properties,2349,PEAK,NYSE
Western Union,2540,WU,NYSE
Cardinal Health,1807,CAH,NYSE
Allegion,2202,ALLE,NYSE
Eaton Corporation,427,ETN,NYSE
Perrigo,2456,PRGO,NYSE
Accenture,803,ACN,NYSE
Allergan,2203,AGN,NYSE
Linde,2397,LIN,NYSE
Aptiv,336,APTV,NYSE
Ross Stores,2482,ROST,NASDAQ
Edwards Lifesciences,2301,EW,NYSE
Skyworks Solutions,2490,SWKS,NASDAQ
Flowserve Corporation,2325,FLS,NYSE
Kimberly-Clark,2384,KMB,NYSE
McKesson,1794,MCK,NYSE
Pioneer Natural Resources,2458,PXD,NYSE
Celanese,2251,CE,NASDAQ
Celanese,2251,CE,NYSE
Builders FirstSource,6944,BLDR,NYSE
Aon,2216,AON,NYSE
Willis Towers Watson,2545,WTW,NASDAQ
Barclays,1230,BCS,NYSE
Capital One,371,COF,NYSE
Hilton Worldwide Holdings,2354,HLT,NYSE
Booz Allen Hamilton,364,BAH,NYSE
NVR,2441,NVR,NYSE
General Dynamics,2048,GD,NYSE
Leidos Holdings,839,LDOS,NYSE
Verisign,2527,VRSN,NASDAQ
Global Payments,2341,GPN,NYSE
Westrock,2541,WRK,NYSE
Corpay,6950,CPAY,NYSE
Invesco,2372,IVZ,NYSE
Equifax,2305,EFX,NYSE
Pultegroup,2466,PHM,NYSE
Intercontinental Exchange,2368,ICE,NYSE
Rollins,2480,ROL,NYSE
Coca-Cola,2096,KO,NYSE
Southern Company,2493,SO,NYSE
Southern Company,2493,SOJC,NYSE
Southern Company,2493,SOJD,NYSE
Southern Company,2493,SOJE,NYSE
Southern Company,2493,SOLN,NYSE
Norfolk Southern,2436,NSC,NYSE
Delta Air Lines,1981,DAL,NYSE
Genuine Parts,2338,GPC,NYSE
United Parcel Service,1875,UPS,NYSE
Newell Brands,2428,NWL,NASDAQ
China Mobile Communications,1820,941,HKG
China Mobile Communications,1820,CHL,NYSE
Lenovo,936,992,HKG
Baidu,37,9888,HKG
Baidu,37,BIDU,NASDAQ
JD.com,133,JD,NASDAQ
JD.com,133,9618,HKG
Cambricon,52,688256,SSE
Qihoo 360,208,QIHU,NYSE
Qihoo 360,208,601360,SSE
Motorola Solutions,2422,MSI,NYSE
Molson Coors Brewing Company,2418,TAP,NYSE
Molson Coors Brewing Company,2418,TAP.A,NYSE
Northern Trust,2437,NTRS,NASDAQ
Northern Trust,2437,NTRSO,NASDAQ
Boeing,784,BA,NYSE
Conagra Brands,2267,CAG,NYSE
LKQ Corporation,2399,LKQ,NASDAQ
McDonald's,2412,MCD,NYSE
Mondelez International,2169,MDLZ,NASDAQ
United Airlines,2009,UAL,NASDAQ
Kellanova,6967,K,NYSE
GE Healthcare,462,GEHC,NASDAQ
Kraft Heinz,2161,KHC,NASDAQ
CME Group,2263,CME,NASDAQ
Equity Residential,2307,EQR,NYSE
CBOE Global Markets,2248,CBOE,NYSE
Archer Daniels Midland,1894,ADM,NYSE
Exelon,2049,EXC,NASDAQ
Ventas,2526,VTR,NYSE
Crown Castle International,2275,CCI,NYSE
NRG Energy,2440,NRG,NYSE
Coterra,3101,CTRA,NYSE
Camden Property Trust,6946,CPT,NYSE
Baker Hughes,1564,BKR,NASDAQ
Phillips 66,1818,PSX,NYSE
NOV,2426,NOV,NYSE
APA Corporation,6937,APA,NASDAQ
Centerpoint Energy,2252,CNP,NYSE
ConocoPhillips,2029,COP,NYSE
Halliburton,2344,HAL,NYSE
Quanta Services,2469,PWR,NYSE
Targa Resources,6982,TRGP,NYSE
Marathon Oil,2403,MRO,NYSE
Kinder Morgan,2386,KMI,NYSE
Waste Management,2535,WM,NYSE
EOG Resources,2304,EOG,NYSE
Occidental Petroleum,2443,OXY,NYSE
Apache Corporation,2218,APA,NASDAQ
Sysco,1908,SYY,NYSE
Schlumberger,676,SLB,NYSE
International Paper,2369,IP,NYSE
AutoZone,2225,AZO,NYSE
Mid-America Apartments,2416,MAA,NYSE
Mid-America Apartments,2416,MAA.PRI,NYSE
Fedex,1891,FDX,NYSE
Xerox,787,XRX,NYSE
FactSet,6956,FDS,NYSE
Booking.com,2232,BKNG,NASDAQ
Booking.com,2232,PCLN,NASDAQ
Pinnacle West Capital,2457,PNW,NYSE
ON Semiconductor,6975,ON,NASDAQ
Freeport-Mcmoran,2333,FCX,NYSE
Republic Services,2476,RSG,NYSE
Advance Auto Parts,2193,AAP,NYSE
Advance Auto Parts,2193,ATVI,NASDAQ
Martin Marietta Materials,2407,MLM,NYSE
Vontier,3098,VNT,NYSE
Amazon,23,AMZN,NASDAQ
Expedia Group,822,EXPE,NASDAQ
