Name,ID,Ticker,Exchange
Synopsys,845,SNPS,NASDAQ
Alphabet,796,GOOG,NASDAQ
Alphabet,796,GOOGL,NASDAQ
Gap,2334,GPS,NYSE
Salesforce,219,CRM,NYSE
Splunk,237,SPLK,NASDAQ
Twitter,734,TWTR,NYSE
Pinterest,635,PINS,NYSE
PG&E Corporation,6976,PCG,NYSE
Lyft,557,LYFT,NASDAQ
Wells Fargo,807,WFC,NYSE
Wells Fargo,807,WFC PR A,NYSE
Wells Fargo,807,WFC PR C,NYSE
Wells Fargo,807,WFC PR D,NYSE
Wells Fargo,807,WFC PR L,NYSE
Wells Fargo,807,WFC PR Q,NYSE
Wells Fargo,807,WFC PR R,NYSE
Wells Fargo,807,WFC PR Y,NYSE
Wells Fargo,807,WFC PR Z,NYSE
First Republic Bank,2321,FRC,NYSE
Visa,2190,V,NYSE
Dropbox,423,DBX,NASDAQ
Dropbox,423,DBX,NYSE
Digital Realty Trust,2285,DLR,NYSE
Prologis,2463,PLD,NYSE
Uber,737,UBER,NYSE
